ST_NAME,TS_NAME,CP_NAME,ROC2014-15,ROCP2014-15,R2014-15,ROY2014-15,ROC2015-16,ROCP2015-16,R2015-16,ROY2015-16,ROC2016-17,ROCP2016-17,R2016-17,ROY2016-17,ROC2017-18,ROCP2017-18,R2017-18,ROY2017-18,ROC2018-19,ROCP2018-19,R2018-19,ROY2018-19
Shan,Tachileik,Groundnut,1783,1783,47.25,84250,1722,1722,46.74,80492,1586,1586,47.22,74886,1571,1571,47.34,74377,1573,1573,47.16,74183
Shan,Monghpyak,Groundnut,907,907,51.85,47025,998,998,58.81,51710,973,973,51.72,50326,973,973,51.53,50139,973,973,51.5,50105
Shan,Mongyawng,Groundnut,4357,4357,52.96,230763,3865,3865,52.73,203794,3865,3865,52.73,203800,4037,4037,52.9,213563,3865,3865,52.91,204489
Shan,Nyaungshwe,Sesame,104,104,7.7,801,104,104,7.8,811,104,104,7.8,811,104,104,7.8,811,104,104,7.8,811
Shan,His Hseng,Sesame,175,175,6.73,1178,175,175,6.75,1181,175,175,6.78,1187,175,175,6.83,1195,175,175,6.81,1192
Shan,Pindaya,Sesame,5,5,5.8,29,3,3,5.67,17,3,3,5.67,17,3,3,5.67,17,3,3,5.67,17
Shan,Ywangan,Sesame,428,428,6.43,2752,428,428,6.43,2750,427,427,6.43,2744,390,390,6.36,2482,277,277,6.49,1799
Shan,Lawksawk,Sesame,140,140,6.35,2752,140,140,6.36,890,140,140,5.3,742,35,35,5.51,193,35,35,5.51,193
Shan,Intaw,Sesame,236,236,6.43,1517,236,236,6.45,1522,223,223,6.45,1438,213,213,7.11,1514,127,127,7.11,903
Shan,Pinlaung,Sesame,20,20,8.85,177,,,,,,,,,,,,,,,,
